category	name	home	sdram	repository	branch	source_id	status	build_script	artifact	timing	hardware	comments
_Arcade	Act-Fancer: Cybernetick Hyper Weapon		yes	https://github.com/MiSTer-devel/Arcade-ActFancer_MISTer.git		MiSTer-devel_Arcade-ActFancer_MISTer	not-ported			not-run	not-run	
_Arcade	Arabian		no	https://github.com/MiSTer-devel/Arcade-Arabian_MiSTer.git		MiSTer-devel_Arcade-Arabian_MiSTer	not-ported			not-run	not-run	
_Arcade	Arkanoid		no	https://github.com/MiSTer-devel/Arcade-Arkanoid_MISTer.git		MiSTer-devel_Arcade-Arkanoid_MISTer	not-ported			not-run	not-run	
_Arcade	Asteroids Deluxe		yes	https://github.com/MiSTer-devel/Arcade-Asteroids_MiSTer.git		MiSTer-devel_Arcade-Asteroids_MiSTer	not-ported			not-run	not-run	
_Arcade	Bally&nbsp;Midway&nbsp;Astrocade&nbsp;/&nbsp;Bally&nbsp;Midway&nbsp;Arcade		no	https://github.com/MiSTer-devel/Arcade-Astrocade_MiSTer.git		MiSTer-devel_Arcade-Astrocade_MiSTer	not-ported			not-run	not-run	
_Arcade	Atari System-1		yes	https://github.com/MiSTer-devel/Arcade-Atari-system1_MiSTer.git		MiSTer-devel_Arcade-Atari-system1_MiSTer	not-ported			not-run	not-run	
_Arcade	Atari System-2		yes	https://github.com/MiSTer-devel/Arcade-AtariSystem2_MiSTer.git		MiSTer-devel_Arcade-AtariSystem2_MiSTer	not-ported			not-run	not-run	
_Arcade	Atari Tetris		no	https://github.com/MiSTer-devel/Arcade-ATetris_MiSTer.git		MiSTer-devel_Arcade-ATetris_MiSTer	not-ported			not-run	not-run	
_Arcade	Athena		no	https://github.com/MiSTer-devel/Arcade-Athena_MiSTer.git		MiSTer-devel_Arcade-Athena_MiSTer	not-ported			not-run	not-run	
_Arcade	Bagman / Le Bagnard		no	https://github.com/MiSTer-devel/Arcade-Bagman_MiSTer.git		MiSTer-devel_Arcade-Bagman_MiSTer	not-ported			not-run	not-run	
_Arcade	Bank Panic!		no	https://github.com/MiSTer-devel/Arcade-BankPanic_MiSTer.git		MiSTer-devel_Arcade-BankPanic_MiSTer	not-ported			not-run	not-run	
_Arcade	BattleZone		no	https://github.com/MiSTer-devel/Arcade-BattleZone_MiSTer.git		MiSTer-devel_Arcade-BattleZone_MiSTer	not-ported			not-run	not-run	
_Arcade	Berzerk		no	https://github.com/MiSTer-devel/Arcade-Berzerk_MiSTer.git		MiSTer-devel_Arcade-Berzerk_MiSTer	not-ported			not-run	not-run	
_Arcade	Black Widow		yes	https://github.com/MiSTer-devel/Arcade-BlackWidow_MiSTer.git		MiSTer-devel_Arcade-BlackWidow_MiSTer	not-ported			not-run	not-run	
