home	status	build_script	artifact	timing	hardware
NES	packaged	scripts/build-nes.sh	artifacts/nes/NES_20260814_FDCD.rbf	pass	pending
SNES	packaged	scripts/build-snes.sh	artifacts/snes/SNES_20260814_FDCD.rbf	pass	pending
Amiga	packaged	scripts/build-minimig.sh	artifacts/minimig/Minimig_20260814_FDCD.rbf	pass	pending
InputTest	packaged	scripts/build-inputtest.sh	artifacts/inputtest/InputTest_20260814_FDCD.rbf	pass	pending
MEMTEST	packaged	scripts/build-memtest.sh	artifacts/memtest/MemTest_20260814_FDCD.rbf	pass	pending
TGFX16	packaged	scripts/build-tgfx16.sh	artifacts/tgfx16/TurboGrafx16_20260814_FDCD.rbf	pass	pending
PC110	packaged	scripts/build-pc110.sh	artifacts/pc110/IBM_PC110_20260814_FDCD.rbf	pass	pending
PCXT	built	scripts/build-pcxt.sh	artifacts/pcxt/PCXT_20260815.rbf	pass	pending
APPLE-I	packaged	scripts/build-apple1.sh	artifacts/apple1/Apple-I_20260814_FDCD.rbf	pass	pending
SMS	built	scripts/build-sms.sh	artifacts/sms/SMS_20260814_FDCD.rbf	pass	pending
